date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:58:26	3901/3901	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2019:58:37%20GMT	https://apetron.com/	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/index.html	(from )
20:58:27	24/24	---M--	200	added ('OK')	text/plain	etag:%222d6e736fdc3e5252f1c40d7cfca4c8e5-ssl%22	https://apetron.com/robots.txt		(from )
20:58:27	6670/6670	---M--	200	added ('OK')	image/jpeg	etag:%22b966d4a7c81ed6b01d105be9dd8f74a1-ssl%22	https://apetron.com/og-image.jpg?v=1.0.2	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/og-image0ff5.jpg	(from https://apetron.com/)
20:58:27	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%222f84b36f5a9ac10a8ce9e46698b07362-ssl%22	https://apetron.com/favicon.ico?v=1.0.2	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/favicon0ff5.ico	(from https://apetron.com/)
20:58:28	10174/10174	---M--	200	added ('OK')	image/png	etag:%22f599a8ef99ad48a65c9e3f9927971761-ssl%22	https://apetron.com/apple-touch-icon.png?v=1.0.2	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/apple-touch-icon0ff5.png	(from https://apetron.com/)
20:58:28	3901/3901	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Dec%202020%2019:58:38%20GMT	https://apetron.com/android-icon-192x192.png?v=1.0.2	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/android-icon-192x1920ff5.png	(from https://apetron.com/)
20:58:28	3901/3901	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Dec%202020%2019:58:38%20GMT	https://apetron.com/android-icon-512x512.png?v=1.0.2	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/android-icon-512x5120ff5.png	(from https://apetron.com/)
20:58:29	11279/11279	---M--	200	added ('OK')	image/png	etag:%2285a71225269cb0e5d0aab2ecb4eee2ac-ssl%22	https://apetron.com/favicon-32x32.png?v=1.0.2	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/favicon-32x320ff5.png	(from https://apetron.com/)
20:58:29	10371/10371	---M--	200	added ('OK')	image/png	etag:%226b6c0ef815cc192a309f1681f63f96e8-ssl%22	https://apetron.com/favicon-16x16.png?v=1.0.2	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/favicon-16x160ff5.png	(from https://apetron.com/)
20:58:29	3605/3605	---M-Z	200	added ('OK')	application/javascript	etag:%2241442400c5b6a7bdefb2281831509352-ssl-df%22	https://apetron.com/_nuxt/c8caa9d.js	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/_nuxt/c8caa9d.js	(from https://apetron.com/)
20:58:29	205987/205987	---MCZ	200	added ('OK')	application/javascript	etag:%22847cd16a8a0b2c73c939f14a815f55b2-ssl-df%22	https://apetron.com/_nuxt/3b71120.js	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/_nuxt/3b71120.js	(from https://apetron.com/)
20:58:30	1668/1668	---M-Z	200	added ('OK')	text/css	etag:%22bd57be71358f0d6ef3d1f8344a77545d-ssl-df%22	https://apetron.com/_nuxt/vendors/app.ce38b02.css	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/_nuxt/vendors/app.ce38b02.css	(from https://apetron.com/)
20:58:30	891796/891796	---MCZ	200	added ('OK')	application/javascript	etag:%222e056cf2b73905cb894b1a1beebf2697-ssl-df%22	https://apetron.com/_nuxt/b3e0456.js	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/_nuxt/b3e0456.js	(from https://apetron.com/)
20:58:30	178818/178818	---MCZ	200	added ('OK')	text/css	etag:%22c0b7441f58c646dbdfd6c93124b01967-ssl-df%22	https://apetron.com/_nuxt/app.280a1fc.css	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/_nuxt/app.280a1fc.css	(from https://apetron.com/)
20:58:31	119290/119290	---MCZ	200	added ('OK')	application/javascript	etag:%22224015232cb5ebc4e53091976e82e15e-ssl-df%22	https://apetron.com/_nuxt/1a03308.js	C:/My%20Web%20Sites/CoronaTOKEN/apetron.com/_nuxt/1a03308.js	(from https://apetron.com/)
